日期,星期,最高气温,最低气温,天气,风向,级数
2023-10-01,星期日,22℃,21℃,阴~中雨,北风,1级
2023-10-02,星期一,21℃,19℃,阴~小雨,西北风,1级
2023-10-03,星期二,21℃,20℃,小雨,北风,1级
2023-10-04,星期三,20℃,18℃,小雨~中雨,西北风,1级
2023-10-05,星期四,20℃,18℃,小雨~中雨,西北风,1级
2023-10-06,星期五,17℃,16℃,小雨~中雨,东北风,2级
2023-10-07,星期六,23℃,16℃,阴~多云,东南风,1级
2023-10-08,星期日,22℃,17℃,小雨,北风,1级
2023-10-09,星期一,19℃,17℃,小雨,西北风,1级
2023-10-10,星期二,20℃,16℃,阴,东北风,1级
2023-10-11,星期三,19℃,17℃,阴~小雨,东北风,1级
2023-10-12,星期四,18℃,15℃,小雨,东北风,1级
2023-10-13,星期五,21℃,15℃,小雨~多云,西南风,1级
2023-10-14,星期六,25℃,15℃,阴~晴,东南风,1级
2023-10-15,星期日,26℃,16℃,多云,东南风,1级
2023-10-16,星期一,25℃,19℃,阴~多云,西北风,1级
2023-10-17,星期二,27℃,18℃,多云,南风,1级
2023-10-18,星期三,22℃,16℃,多云~中雨,西北风,1级
2023-10-19,星期四,17℃,13℃,阴~多云,西北风,2级
2023-10-20,星期五,21℃,15℃,阴~多云,东北风,1级
2023-10-21,星期六,23℃,15℃,阴~多云,东北风,1级
2023-10-22,星期日,22℃,15℃,阴,东北风,1级
2023-10-23,星期一,23℃,17℃,阴,西北风,1级
2023-10-24,星期二,18℃,17℃,小雨,西风,1级
2023-10-25,星期三,19℃,17℃,阴~小雨,西北风,1级
2023-10-26,星期四,18℃,17℃,中雨,西北风,1级
2023-10-27,星期五,15℃,14℃,小雨~阴,东南风,1级
2023-10-28,星期六,18℃,14℃,阴~多云,东南风,1级
2023-10-29,星期日,23℃,14℃,多云~晴,东南风,1级
2023-10-30,星期一,23℃,15℃,阴~小雨,东风,1级
2023-10-31,星期二,19℃,16℃,中雨~多云,西北风,1级
