日期,星期,最高气温,最低气温,天气,风向,级数
2022-02-01,星期二,-2℃,-7℃,小雪,东南风,2级
2022-02-02,星期三,-4℃,-8℃,小雪,西风,1级
2022-02-03,星期四,1℃,-7℃,多云,东南风,2级
2022-02-04,星期五,0℃,-4℃,晴,南风,2级
2022-02-05,星期六,0℃,-4℃,多云,西南风,3级
2022-02-06,星期日,-1℃,-8℃,中雪,西风,3级
2022-02-07,星期一,5℃,-7℃,多云,东南风,3级
2022-02-08,星期二,0℃,-6℃,多云,西风,3级
2022-02-09,星期三,4℃,-8℃,晴,东南风,4级
2022-02-10,星期四,5℃,-3℃,晴,西南风,2级
2022-02-11,星期五,0℃,-8℃,多云,南风,3级
2022-02-12,星期六,-2℃,-8℃,小雪,西风,2级
2022-02-13,星期日,10℃,-5℃,晴,西南风,1级
2022-02-14,星期一,7℃,-5℃,多云,西风,2级
2022-02-15,星期二,8℃,-3℃,多云,南风,1级
2022-02-16,星期三,4℃,-3℃,多云,西南风,5级
2022-02-17,星期四,5℃,-3℃,多云,西南风,3级
2022-02-18,星期五,3℃,-6℃,多云,东风,3级
2022-02-19,星期六,0℃,-8℃,阴,东南风,2级
2022-02-20,星期日,0℃,-9℃,阴,东南风,3级
2022-02-21,星期一,-2℃,-9℃,小雪,东南风,4级
2022-02-22,星期二,0℃,-8℃,阴,西南风,2级
2022-02-23,星期三,0℃,-7℃,多云,东南风,1级
2022-02-24,星期四,1℃,-2℃,多云,东南风,2级
2022-02-25,星期五,5℃,-4℃,多云,东南风,3级
2022-02-26,星期六,3℃,-3℃,阴,西南风,2级
2022-02-27,星期日,10℃,-3℃,多云,西风,1级
2022-02-28,星期一,4℃,-4℃,雨夹雪,东南风,4级
