日期,星期,最高气温,最低气温,天气,风向,级数
2021-11-01,星期一,18℃,15℃,小雨,东北风,2级
2021-11-02,星期二,17℃,15℃,小雨,东北风,1级
2021-11-03,星期三,17℃,15℃,多云~小雨,东北风,1级
2021-11-04,星期四,18℃,16℃,多云~阴,东北风,1级
2021-11-05,星期五,20℃,16℃,多云,东北风,1级
2021-11-06,星期六,20℃,8℃,多云~小雨,西北风,1级
2021-11-07,星期日,11℃,8℃,多云,西北风,3级
2021-11-08,星期一,13℃,8℃,多云,东北风,2级
2021-11-09,星期二,13℃,7℃,多云~晴,西北风,1级
2021-11-10,星期三,16℃,8℃,多云~阴,东风,2级
2021-11-11,星期四,11℃,9℃,多云,东风,1级
2021-11-12,星期五,14℃,7℃,小雨~多云,西南风,1级
2021-11-13,星期六,14℃,9℃,多云,东北风,1级
2021-11-14,星期日,13℃,9℃,多云~阴,东北风,1级
2021-11-15,星期一,14℃,10℃,多云~小雨,西风,1级
2021-11-16,星期二,12℃,10℃,多云~小雨,西风,1级
2021-11-17,星期三,14℃,8℃,多云,西南风,1级
2021-11-18,星期四,15℃,9℃,多云~阴,东北风,2级
2021-11-19,星期五,13℃,11℃,阴~小雨,东北风,1级
2021-11-20,星期六,13℃,12℃,阴~小雨,西北风,1级
2021-11-21,星期日,12℃,8℃,中雨~小雨,西风,1级
2021-11-22,星期一,12℃,9℃,多云~小雨,西南风,2级
2021-11-23,星期二,15℃,9℃,多云~阴,西南风,1级
2021-11-24,星期三,16℃,9℃,多云,东风,1级
2021-11-25,星期四,17℃,7℃,多云~阴,东北风,1级
2021-11-26,星期五,18℃,10℃,多云~阴,东北风,1级
2021-11-27,星期六,13℃,12℃,小雨~阴,西北风,1级
2021-11-28,星期日,15℃,12℃,多云~小雨,北风,1级
2021-11-29,星期一,13℃,7℃,阴~多云,西北风,1级
2021-11-30,星期二,16℃,7℃,多云,南风,2级
