日期,星期,最高气温,最低气温,天气,风向,级数
2022-01-01,星期六,11℃,3℃,晴,西北风,1级
2022-01-02,星期日,11℃,3℃,多云,西风,1级
2022-01-03,星期一,11℃,3℃,阴,东北风,1级
2022-01-04,星期二,11℃,5℃,阴,东风,0级
2022-01-05,星期三,9℃,7℃,阴,西北风,1级
2022-01-06,星期四,10℃,7℃,阴,东风,1级
2022-01-07,星期五,9℃,6℃,阴,东北风,1级
2022-01-08,星期六,12℃,4℃,阴,东北风,1级
2022-01-09,星期日,11℃,6℃,阴,北风,1级
2022-01-10,星期一,15℃,2℃,晴,西北风,1级
2022-01-11,星期二,13℃,7℃,阴,北风,2级
2022-01-12,星期三,8℃,1℃,多云,东北风,0级
2022-01-13,星期四,12℃,6℃,阴,东北风,1级
2022-01-14,星期五,8℃,5℃,雾,西风,1级
2022-01-15,星期六,12℃,6℃,多云,南风,1级
2022-01-16,星期日,13℃,3℃,阴,北风,1级
2022-01-17,星期一,14℃,3℃,晴,东北风,1级
2022-01-18,星期二,14℃,4℃,晴,南风,1级
2022-01-19,星期三,10℃,5℃,阴,北风,1级
2022-01-20,星期四,9℃,6℃,小雨,东北风,1级
2022-01-21,星期五,9℃,7℃,多云,北风,1级
2022-01-22,星期六,9℃,6℃,阴,东风,4级
2022-01-23,星期日,9℃,7℃,多云,东北风,1级
2022-01-24,星期一,9℃,7℃,多云,东北风,1级
2022-01-25,星期二,8℃,7℃,多云,北风,1级
2022-01-26,星期三,8℃,5℃,多云,东风,2级
2022-01-27,星期四,7℃,4℃,阴,东风,1级
2022-01-28,星期五,9℃,2℃,小雪,南风,1级
2022-01-29,星期六,10℃,3℃,多云,东南风,1级
2022-01-30,星期日,9℃,4℃,多云,西北风,2级
2022-01-31,星期一,9℃,2℃,阴,东风,1级
