日期,星期,最高气温,最低气温,天气,风向,级数
2022-12-01,星期四,5℃,2℃,多云,北风,2级
2022-12-02,星期五,6℃,4℃,多云,西南风,1级
2022-12-03,星期六,6℃,4℃,雾,东南风,1级
2022-12-04,星期日,9℃,4℃,多云,西南风,1级
2022-12-05,星期一,10℃,5℃,雾,西北风,2级
2022-12-06,星期二,9℃,5℃,小雨,东北风,1级
2022-12-07,星期三,10℃,6℃,雾,东风,1级
2022-12-08,星期四,10℃,7℃,雾,西风,1级
2022-12-09,星期五,10℃,7℃,雾,东南风,2级
2022-12-10,星期六,11℃,7℃,雾,南风,1级
2022-12-11,星期日,10℃,6℃,多云,东北风,1级
2022-12-12,星期一,8℃,5℃,雾,北风,1级
2022-12-13,星期二,6℃,5℃,多云,西南风,1级
2022-12-14,星期三,13℃,6℃,多云,东风,2级
2022-12-15,星期四,8℃,6℃,小雨,北风,1级
2022-12-16,星期五,8℃,3℃,多云,西南风,1级
2022-12-17,星期六,9℃,3℃,多云,西南风,1级
2022-12-18,星期日,9℃,3℃,多云,东北风,1级
2022-12-19,星期一,7℃,5℃,雾,东风,1级
2022-12-20,星期二,10℃,4℃,雾,北风,1级
2022-12-21,星期三,13℃,5℃,多云,西风,1级
2022-12-22,星期四,10℃,3℃,多云,西风,1级
2022-12-23,星期五,12℃,4℃,多云,西南风,1级
2022-12-24,星期六,11℃,6℃,多云,东风,1级
2022-12-25,星期日,6℃,4℃,小雨,东风,1级
2022-12-26,星期一,8℃,4℃,多云,东北风,1级
2022-12-27,星期二,5℃,3℃,雾,西南风,2级
2022-12-28,星期三,8℃,2℃,多云,北风,3级
2022-12-29,星期四,6℃,3℃,雾,东北风,1级
2022-12-30,星期五,5℃,4℃,雾,东北风,1级
2022-12-31,星期六,6℃,3℃,多云,东南风,1级
